category	label	hanri
food	Food	鹹
food	Food	鹹酥雞
food	Food	糊
food	Food	고ˉ비ˆ
food	Food	고ˉ비ˉ店
food	Food	雞
food	Food	雞卵
food	Food	雞肉
food	Food	粿
food	Food	鹼粽
food	Food	鵝肉
food	Food	牛奶
food	Food	牛肉
food	Food	卵
food	Food	奶
food	Food	茶
food	Food	豬肉
food	Food	甜粿
food	Food	豆
food	Food	豆粽
food	Food	豆腐
food	Food	豆花
food	Food	豆花水
food	Food	綠茶
food	Food	飲茶
food	Food	飲酒
food	Food	飲湯
food	Food	메ˉ끼ˉ麵
food	Food	麵
food	Food	麵囝
food	Food	麵薄
food	Food	餅
food	Food	白糖
food	Food	白糖粿
food	Food	便當
food	Food	飯
food	Food	肉
food	Food	肉粽
food	Food	肉脞
food	Food	肉脞麵
food	Food	米粉粿
food	Food	米粉湯
food	Food	米粉
food	Food	米
food	Food	紅龜粿
food	Food	紅茶
food	Food	紅豆
food	Food	鴨
food	Food	鴨肉
food	Food	鹽
food	Food	烏龍茶
food	Food	雲吞麵
food	Food	碗粿
food	Food	碗
food	Food	幼麵
food	Food	粽
food	Food	食麵
food	Food	食飯
food	Food	煮
food	Food	酒
food	Food	炒粿條
food	Food	炒飯
food	Food	炒米粉
food	Food	菜
food	Food	菜頭粿
food	Food	湯
food	Food	糖
food	Food	湯匙
food	Food	泡麵
food	Food	泡茶
food	Food	粉粿
food	Food	粉
food	Food	魚
food	Food	蟳
food	Food	中晝
food	Food	果子
food	Food	蝦
food	Food	肉乾
food	Food	燒肉粽
food	Food	菝仔
food	Food	早頓
food	Food	卵仁
food	Food	蚵仔煎
food	Food	蚵
food	Food	蚵仔
food	Food	好茶
food	Food	滷肉
food	Food	滷
food	Food	滷肉飯
food	Food	紅燒
food	Food	薑
food	Food	蒜
food	Food	米酒頭仔
food	Food	煮食
food	Food	蚶
food	Food	蚶仔
food	Food	燒酒蝦
food	Food	麻油雞
food	Food	煠
food	Food	米酒
food	Food	米酒頭
place-names	Place names	紅毛橋
place-names	Place names	安溪
place-names	Place names	美世界
place-names	Place names	北京
place-names	Place names	碧山
place-names	Place names	文禮
place-names	Place names	紅山
place-names	Place names	廣府
place-names	Place names	彰化
place-names	Place names	長泰
place-names	Place names	嘉義
place-names	Place names	唐山
place-names	Place names	中國
place-names	Place names	蔡厝港
place-names	Place names	東亞
place-names	Place names	福建
place-names	Place names	廣東
place-names	Place names	香港
place-names	Place names	後港
place-names	Place names	新竹
place-names	Place names	印度
place-names	Place names	日本
place-names	Place names	晉江
place-names	Place names	高雄
place-names	Place names	加東
place-names	Place names	金門
place-names	Place names	牛車水
place-names	Place names	林厝港
place-names	Place names	龍海
place-names	Place names	鹿港
place-names	Place names	馬來西亞
place-names	Place names	閩東
place-names	Place names	閩南
place-names	Place names	艋舺
place-names	Place names	南洋
place-names	Place names	屏東
place-names	Place names	泉州
place-names	Place names	泉漳
place-names	Place names	盛港
place-names	Place names	汕頭
place-names	Place names	石獅
place-names	Place names	新加坡
place-names	Place names	韓國
place-names	Place names	東南亞
place-names	Place names	台中
place-names	Place names	台南
place-names	Place names	台北
place-names	Place names	台北市
place-names	Place names	台北車站
place-names	Place names	台灣
place-names	Place names	淡水
place-names	Place names	淡水河
place-names	Place names	桃園
place-names	Place names	潮州
place-names	Place names	泰國
place-names	Place names	大巴窯
place-names	Place names	東京
place-names	Place names	東寧
place-names	Place names	英國
place-names	Place names	美國
place-names	Place names	越南
place-names	Place names	西洋
place-names	Place names	廈門
place-names	Place names	延平
place-names	Place names	翔安
place-names	Place names	油池
place-names	Place names	宜蘭
place-names	Place names	義順
place-names	Place names	永春
place-names	Place names	雲林
place-names	Place names	漳浦
place-names	Place names	漳州
place-names	Place names	中山
