reading	hanri	priority	corrected	english
# implicit-tone-overrides (single Hangul-only hanri rows used when the typed form has no tone mark)				
갗	갗	1		and
뎋	뎋	1		
캏	캏	1		more; even more
릐2	릐ˋ	1		you
꽈2	꽈ˋ	1		I; me
이5	이ˉ	1		he; she; they
꾼2	꾼ˋ	1		I; my; we (exclusive of listener)
꽌2	꽌ˋ	1		I; my; we (exclusive of listener)
란2	란ˋ	1		we (inclusive of listener)
린2	린ˋ	1		you; your
인5	인ˉ	1		they, their
아5	아ˉ	1		
곻	곻	1		again
낫2	낫ˋ	1		
렁2	렁ˋ	1		all
빼2	빼ˋ	1		bad
뻐2	뻐ˋ	1		wife
뽀4	뽀ˊ	1		not
뾔5	뾔ˉ	1		won't; will not
쉬2	쉬ˋ	2		nice
시5	시ˉ	1		is
허5	허ˉ	1		give
짖	짖	1		this
쟟	쟟	1		this; so
쟈1	쟈ˆ	1		here
힏	힏	1		that
햐1	햐ˆ	1		there
애	애	1		should; want
매	매	1		shouldn't; don't want
얓	얓	1		still; yet
감2	감ˋ	1		(question marker)
가2	가ˋ	1		to the extent
제1	제ˆ	1		this
쟣	쟣	1		then
에당	에당	1		can; be able to
뾔당	뾔당	1		cannot; will not be able to
렁1정2	렁ˆ總	1		total; general; always
안1니1	안ˆ니ˆ	1		like this; like that
안1네1	안ˆ네ˆ	1		like this; like that
쟟1니5	쟟ˆ니ˉ	1		this; so
햫	햫	1		
햫1니5	햫ˆ니ˉ	1		
헤1	헤ˆ	1		
0	0	1	컹	
1	1	1	짇1	
2	2	1	띠5	
3	3	1	살1	
4	4	1	시	
5	5	1	꺼5	
6	6	1	락1	
7	7	1	칟	
8	8	1	뵣	
9	9	1	ᄀᅷ2	
’꽈	’꽈	1		
’됴	’됴	1		
’둏	’둏	1		
’래	’래	1		
’릐	’릐	1		
’ᄅᆤ2	’ᄅᆤ	1		
’ᄅᆤ2	’ᄅᆤˋ	2		
’뽀4	’뽀ˊ	1		not
’에	’에	1		
’이	’이	1		
’킈	’킈	1		
가1	家	2		home
가5기5	家己	1		oneself
가5끼5	嘉義	1		Chiayi
가5덩1	加東	1		Katong
가5도1	鉸刀	1		scissors
가5ᄉᅷ	咳嗽	1		cough
가5야1	가ˉ야ˆ	1		kaya
가5야5또디1	가ˉ야ˉ또디ˆ	1		kaya roti
각1딛	覺得	1		think that; feel that
간1	艱	1		difficult; hard
간5커2	艱苦	1		hard; exhausting; toilful
감1	甘	2		sweet; pleasant
감1각	感覺	1		to feel
강1	工	1		work; day
개1볜	改變	1		change
개2	改	1		change
걀1	驚	1		scared
걀1	京	4		capital
걀1띠4	囝兒	1		children
걀2	囝	3		child
걀4	行	2		walk; go
걀5랑4	驚人	1		scary
걀5랑ᄐᅷ1	驚人偷	1		afraid of thieves
걈4	鹹	1		salty
걈서5괴1	鹹酥雞	1		Taiwanese popcorn chicken
거	顧	1		look after; care for
거1	孤	1		lone
거2랑완	顧人怨	1		annoying
거2수5	故事	1		story
거4	糊	1		congee; paste
거5돨1	孤單	1		lonely
걱	國	1		country
걱1가1	國家	1		state; country
걱1립1	國立	1		a national institution
걱1제	國際	1		international
걱1제2기5듈4	國際機場	1		international airport
걱1후5	國父	1		founding father
겅1	光	2		light
겅1	公	1		male
겅1웨5	講話	1		speak
겅1후1랑4	廣府人	1		Cantonese people
겅1후1웨5	廣府話	1		Cantonese speech
겅1후2	廣府	1		Canton (Guangzhou)
겅2	講	1		say
겅5마2	公媽	1		grandparents
겅5시1	公司	1		company
겅5주2	公主	1		princess
겅5흥4	公園	1		park
게	嫁	2		marry; marry off
게1	家	1		home
게2ᄀᅷ	計較	1		argue; haggle; fuss over
게5보4	家婆	1		to be busybody
게5ᄋᅷ5	家後	1		wife
경4	強	1		strong
경5	共	1		together; with; communist
곈5치4	堅持	1		persevere
곋1훈1	結婚	1		to get married
곙1	經	1		scripture; classic; pass through
곙2	境	1		border; situation
고5뎡1	高中	1		high school
고5비1	고ˉ비ˆ	1		coffee
고5비5댬5	고ˉ비ˉ店	1		coffee shop
고5형4	高雄	1		Kaohsiung
과1	歌	1		song
과2	寡	1		few; little
관2	館	1		hall; shop; institution
괄4	寒	2		cold
괄5	汗	1		sweat
괘	怪	1		weird; to blame
괠4	懸	1		tall
괠5	縣	1		county
괴1	雞	1		chicken
괴5능5	雞卵	1		chicken egg
괴5빻	雞肉	1		chicken (meat)
교	叫	1		to call; known as
구1	龜	1		turtle; tortoise
구5	舅	1		maternal uncle
궤	過	1		pass
궤1ᄃᆤ4	粿條	1		kway teow
궤2	粿	1		kueh; rice cake
긍1	光	1		light
긍1당1	廣東	1		Guangdong
긍1당5랑4	廣東人	1		Cantonese
긍1당5웨5	廣東話	1		Cantonese
긍5얄2얄	光映映	1		shiny
기	記	1		record; remember
기1	機	3		machine; opportunity
기2럄5	紀念	1		commemorate; remembrance
기2럄관2	紀念館	1		memorial hall
기4	其	1		that; its
기5듈4	機場	1		airport
기5챠1	機車	1		motorcycle
기싣1	其實	1		actually; in fact
긴2	緊	1		fast; quick
긴5띧1	今日	1		today
긴5아1띧1	今仔日	1		today
길5장	鹼粽	1		alkaline rice dumpling
김1	金	1		gold
김5믕4	金門	1		Kinmen (Quemoy)
ᄀᅷ	到	1		reach; arrive
ᄀᅷ	夠	2		enough
ᄀᅷ1밯	九百	1		nine hundred
ᄀᅷ1새2	狗屎	1		dog shit
ᄀᅷ1잡1	九十	1		ninety
ᄀᅷ2	狗	4		dog
ᄀᅷ2	九	3		nine
ᄀᅷ2역1	教育	1		education
ᄀᅷ2역버5	教育部	1		Ministry of Education
ᄀᅷ4	猴	1		monkey
ᄀᅷ5텅1	交通	1		traffic
깍1	樂	1		music
꺼5	五	1		five
꺼밯	五百	1		five hundred
꺼잡1	五十	1		fifty
께5	藝	1		art; skill
께숟1	藝術	1		arts
꼔뿐4	諺文	1		hangul
꼬4	鵝	1		goose
꼬빻	鵝肉	1		goose (meat)
꽌래4	原來	1		actually
꽏대4	月台	1		train platform
꾸1꼔4	語言	1		language
꾸2	語	1		language
꾸4	牛	1		cattle; cow
꾸니1	牛奶	1		cow milk
꾸덤4	牛丼	1		gyudon
꾸롕1	牛奶	1		cow milk
꾸빻	牛肉	1		beef
꾸챠5쥐2	牛車水	1		Chinatown, Singapore
뀋1	月	1		moon; month
꾼4	銀	1		silver; money
끤4	銀	1		silver; money
끼5	義	1		meaning; righteousness
끼란4	宜蘭	1		Yilan
끼순5	義順	1		Yishun
냐4	娘	1		mother; woman
뉴4	娘	1		mother; woman
뉴5	讓	2		let; allow; yield
뉴뉴4	娘娘	1		goddess; empress
능2	軟	3		soft
능5	兩	1		two; both
능5	卵	2		egg
능랑4	兩人	1		two people
능밯1커1	兩百箍	1		two hundred dollars
능빤커1	兩萬箍	1		twenty thousand dollars
능에4	兩个	1		two; two items
능잡1*	二十	1	띠잡1	twenty
능잡커1*	二十箍	1	띠잡커1	twenty dollars
능쳰5커1*	兩千箍	1	능촁5커1	two thousand dollars
능촁5커1	兩千箍	1		two thousand dollars
니1	奶	1		milk; breast
니4	年	1		year
ᄂᆤ1	貓	1		cat
ᄂᆤ1츼2	鳥鼠	1		rat; mouse
